Germany,South Korea,Japan,USA,China
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,101.90825,369.5182099653798
,,,103.08425,365.6300229214321
,,,103.59875,368.0884940179509
,,,105.470416666667,376.8408482934488
,,,107.33375,387.3202942769598
,,,109.079916666667,398.51585571219863
,,,110.341333333333,407.95526720225786
,,,111.843583333333,419.3242150563308
,,69.82916666666671,113.688166666667,432.9396659406965
,,70.6591666666667,115.67625,447.37291309620565
,,71.495,118.0775,460.6010616127814
,,72.2083333333333,120.80975,471.4316680056916
,,73.0141666666667,124.102166666667,482.31568952421236
,,74.04,126.708083333333,493.15420251079735
,,74.7225,129.17575,504.3793377370285
,,75.4,131.627083333333,516.4129560202813
,,76.0541666666667,134.066333333333,529.5874546205473
,,76.63583333333342,136.436166666667,543.3112868245719
,,77.1633333333333,138.74441666666698,557.8971711607721
,,77.7275,141.097416666667,573.5501422714932
,,78.41083333333341,143.39525,590.2652001605522
,,78.9283333333333,145.279916666667,608.6882121539433
,,79.55916666666658,146.88375,627.0928983185718
,,80.3375,148.32308333333302,645.8644123602506
,,81.1016666666667,149.94975,665.1952274569778
,,81.825,151.208083333333,684.8581043076135
,,82.635,153.09025,702.9709142522325
,,83.4566666666667,154.644333333333,721.1079695347404
,,84.3158333333333,156.00075,738.6775552581629
,,85.0483333333333,157.221333333333,755.3952183252114
,,85.63583333333342,159.91725,771.2358641398494
,,86.13083333333341,161.224666666667,781.9292420150477
,,86.4616666666667,162.626583333333,794.717238203444
,,86.78166666666658,164.20366666666698,808.0100154132676
,,86.89166666666658,165.80175,819.6410873013278
,,86.9083333333333,167.1365,828.8197092223702
,,86.7908333333333,168.83925,842.3483989125855
,,86.88833333333329,171.14408333333301,850.7138246476391
,,86.795,172.98266666666697,856.9141484569983
,,86.6258333333333,175.26908333333301,865.2885900312424
,32.79765833333329,86.44583333333341,179.11025,877.7007385407499
,33.03634166666671,86.15583333333342,181.420666666667,888.7551242858525
,33.25786666666669,85.6808333333333,183.76175,904.3541623786386
,33.46995,85.295,186.914416666667,922.5186129019198
,33.6417833333333,84.995,188.74808333333303,939.6316442393652
54.76415,33.7972833333333,84.5008333333333,191.014166666667,953.7374617486447
54.543175,34.1026916666667,83.94083333333342,193.20141666666697,965.9838435340127
54.2289,34.42055,83.2066666666667,195.639,975.6687761262287
54.065975,34.7922833333333,82.62083333333342,196.626583333333,983.1656705418193
53.7625,35.1247666666667,81.935,197.80325,989.7912735448247
52.3996,35.463941666666706,81.49166666666659,199.12325,996.2326093017996
52.314,35.860025,80.7925,199.88891666666697,1001.4194402873604
52.48695,36.090375,80.4891666666667,201.41525,1006.3294700899213
52.576625,36.28225,79.2933333333333,202.26758333333302,1010.5581289507336
52.729325,36.51769166666671,78.1883333333333,202.98725,1013.3798917463208
52.963825,36.705075,77.25666666666658,204.29175,1014.4429846960028
53.8023,36.83859166666671,76.49666666666658,205.50275,1013.3658995926227
53.797375,36.85945,75.9858333333333,205.5375,1010.8709414641697
53.5236,36.796125,75.45416666666671,206.50775,
